"part","for_capability","qty","unit_usd","line_usd","link","verified"
"A4988 stepper driver module (StepStick)","electronics (controller board, stepper drivers, power)","3","3.67","11.01","https://www.amazon.com/HiLetgo-Stepstick-Stepper-Printer-Compatible/dp/B07BND65C8","yes"
"Mean Well LRS-350-24 power supply (24V, 14.6A)","electronics (controller board, stepper drivers, power)","1","31.4","31.4","https://www.jameco.com/z/LRS-350-24-MEAN-WELL-350-4W-24VDC-14-6A-Single-Output-Enclosed-Power-Supply_2219823.html","yes"
"Protoneer Arduino CNC Shield V3.51","electronics (controller board, stepper drivers, power)","1","19.95","19.95","https://www.zyltech.com/genuine-protoneer-cnc-shield-v3-51-for-arduino-engraver-cnc-grbl-1-1/","yes"
"Arduino Uno R3 (ATmega328P)","electronics (controller board, stepper drivers, power)","1","27.6","27.6","https://store.arduino.cc/products/arduino-uno-rev3","yes"
"USB cable (PC to controller)","electronics (controller board, stepper drivers, power)","1","6","6","https://www.amazon.com/s?k=usb+a+to+usb+b+cable","yes"
"NEMA 17 bipolar stepper motor (42x42mm, ~1.5A, ~42Ncm)","motion + frame (steppers, belts, linear motion, structure)","2","13","26","https://www.omc-stepperonline.com/e-series-nema-17-bipolar-42ncm-59-49oz-in-1-5a-42x42x38mm-4-wires-w-1m-cable-connector-17he15-1504s","yes"
"GT2 20T aluminum drive pulley, 5mm bore, 6mm belt","motion + frame (steppers, belts, linear motion, structure)","2","7.95","15.9","https://www.adafruit.com/product/1251","yes"
"GT2 20T smooth idler pulley with ball bearing, 3mm bore","motion + frame (steppers, belts, linear motion, structure)","4","2.75","11","https://www.zyltech.com/gt2-20t-smooth-idler-3mm-bore-ball-bearing/","yes"
"GT2 timing belt, 6mm wide, 2mm pitch (5m roll)","motion + frame (steppers, belts, linear motion, structure)","1","9","9","https://www.amazon.com/GT2-Belt-6mm-width-length/dp/B00YE9YLHG","yes"
"8mm hardened chrome-plated smooth rod (~400mm)","motion + frame (steppers, belts, linear motion, structure)","4","6","24","https://partsbuilt.com/linear-rod-hard-chrome-8mm-x-365mm/","yes"
"2020 T-slot aluminum extrusion, 500mm length","motion + frame (steppers, belts, linear motion, structure)","6","3.25","19.5","https://www.amazon.com/Length-Anodized-Aluminum-Profiles-Extrusion/dp/B07BF2RD48","yes"
"2020 corner bracket (L, 3-hole, with slot nuts)","motion + frame (steppers, belts, linear motion, structure)","8","0.75","6","https://www.zyltech.com/store/aluminum-extrusion-hardware/2020-t-slot/","yes"
"LM8UU linear ball bearing (8mm bore, 15mm OD, 24mm)","motion + frame (steppers, belts, linear motion, structure)","8","1.5","12","https://www.walmart.com/ip/LM8UU-Linear-Ball-Bearings-8mm-Bore-15mm-OD-24mm-Long-Linear-Bearing-for-CNC-3D-Printer-8-Pack/5199803242","yes"
"M3/M4/M5 socket-cap screw + T-nut assortment kit","motion + frame (steppers, belts, linear motion, structure)","1","13","13","https://www.amazon.com/296pcs-Assortment-Aluminum-Extrusion-Hardware/dp/B0H14GNT1S","yes"
"Flexible shaft coupling, 5mm to 5mm (aluminum spiral/jaw)","motion + frame (steppers, belts, linear motion, structure)","2","4.95","9.9","https://www.adafruit.com/product/1175","yes"
"SG90 9g micro servo (pen-lift actuator)","tool head + sensors (pen lift or laser, endstops)","1","3.99","3.99","https://shop.eurekaleap.com/sg90-9g-micro-servo-motor/","yes"
"3D-printed pen holder / pen-lift bracket","tool head + sensors (pen lift or laser, endstops)","1","1","1","https://www.printables.com/model/110358-pen-lifter-for-cnc-plotter","yes"
"Mechanical endstop limit switches, lever microswitch with cable","tool head + sensors (pen lift or laser, endstops)","3","7.99","23.97","https://www.amazon.com/GTIWUNG-Mechanical-Endstop-Printer-Arduino/dp/B07WR6LCLT","yes"
